Date,Open,High,Low,Close,Volume
2021-11-08,601.24,643.46,599.37,639.15,458901.927
2021-11-09,639.14,732.03,637.19,718.32,1015529.14
2021-11-10,718.19,729.98,641.7,663.3,1068986.903
2021-11-11,663.31,681.14,657.93,676.3,335217.509
2021-11-12,676.25,684.97,647.03,668.54,397068.235
2021-11-13,668.55,671.19,656.05,665.89,191665.351
2021-11-14,665.79,680.0,657.65,679.66,250595.128
2021-11-15,679.6,686.1,664.05,666.21,258987.534
2021-11-16,666.22,666.22,569.53,598.29,550979.897
2021-11-17,598.33,603.83,577.31,595.1,275085.146
2021-11-18,595.1,602.13,542.4,554.47,384219.788
2021-11-19,554.63,577.18,547.97,574.21,234321.575
2021-11-20,574.28,588.84,564.76,584.69,209618.227
2021-11-21,584.7,585.79,568.99,574.95,163910.932
2021-11-22,574.99,578.29,547.26,556.96,257085.948
2021-11-23,556.95,575.67,546.12,571.28,216909.806
2021-11-24,571.42,620.65,558.66,618.97,519998.394
2021-11-25,618.89,636.35,608.18,617.29,381936.751
2021-11-26,617.33,619.19,539.29,557.14,685167.265
2021-11-27,557.13,573.62,555.0,562.73,174271.101
2021-11-28,562.73,569.42,530.25,569.04,263991.577
2021-11-29,569.05,581.63,556.91,574.94,267649.201
2021-11-30,575.02,587.56,557.22,570.57,327268.591
2021-12-01,570.67,586.91,565.19,570.71,238904.229
2021-12-02,570.74,575.0,558.19,561.77,185617.34
2021-12-03,561.7,568.0,512.36,532.66,329583.1
2021-12-04,532.6,534.61,338.33,472.86,994511.787
2021-12-05,473.01,477.79,434.31,453.28,439773.095
2021-12-06,453.28,480.16,418.58,474.4,526558.048
2021-12-07,474.29,502.2,463.43,474.02,458332.795
2021-12-08,474.06,487.76,463.1,480.28,389301.66
2021-12-09,480.46,482.99,447.56,448.67,430416.268
2021-12-10,448.64,468.73,436.28,437.75,428932.444
2021-12-11,437.8,461.46,430.98,459.22,268993.786
2021-12-12,459.23,462.14,441.56,457.61,199544.318
2021-12-13,457.74,460.0,413.95,421.75,408185.383
2021-12-14,421.78,441.87,418.13,436.49,356413.143
2021-12-15,436.5,449.75,416.52,447.63,338253.12
2021-12-16,447.53,454.02,436.87,438.2,210130.538
2021-12-17,438.24,441.31,417.26,424.39,250361.129
2021-12-18,424.4,439.12,418.59,435.47,167677.595
2021-12-19,435.48,445.49,431.56,432.47,181506.112
2021-12-20,432.44,439.7,418.61,430.04,234105.594
2021-12-21,430.06,440.6,426.4,437.51,175917.936
2021-12-22,437.5,447.0,434.02,438.08,200259.484
2021-12-23,438.08,458.19,434.21,455.57,206003.596
2021-12-24,455.61,461.35,448.6,451.95,196773.473
2021-12-25,451.94,460.39,447.1,455.1,160316.823
2021-12-26,455.1,455.32,444.22,451.28,160737.098
2021-12-27,451.29,476.0,447.38,465.51,302649.707
2021-12-28,465.5,465.51,437.24,438.66,298086.095
2021-12-29,438.69,445.77,425.92,429.74,224208.982
2021-12-30,429.74,437.12,422.73,431.18,170301.826
2021-12-31,431.31,437.06,419.04,429.98,272800.109
2022-01-01,430.23,446.04,430.16,444.71,183559.342
2022-01-02,444.74,452.34,442.42,447.52,227210.09
2022-01-03,447.52,447.82,430.84,434.79,173885.477
2022-01-04,434.78,439.37,425.05,426.8,190750.928
2022-01-05,426.84,432.38,390.1,399.41,292120.62
2022-01-06,399.45,402.37,387.0,399.63,271870.179
2022-01-07,399.66,401.31,375.18,385.72,378289.424
2022-01-08,385.74,391.43,360.94,372.86,261372.756
2022-01-09,372.78,380.8,367.42,376.85,204100.041
2022-01-10,376.83,378.3,347.26,363.3,385535.93
2022-01-11,363.2,374.96,361.41,369.74,267857.164
2022-01-12,369.61,385.62,367.72,383.7,235562.994
2022-01-13,383.71,391.47,376.11,377.21,246853.54
2022-01-14,377.18,393.59,375.23,385.31,269888.239
2022-01-15,385.31,392.76,382.59,390.51,161241.748
2022-01-16,390.54,393.3,382.11,388.03,146677.845
2022-01-17,388.02,389.01,372.69,380.38,191908.258
2022-01-18,380.36,398.69,374.4,381.06,454607.009
2022-01-19,381.07,384.2,365.47,368.79,257849.999
2022-01-20,368.78,384.08,355.94,357.21,229142.319
2022-01-21,357.23,359.77,307.92,314.8,467739.423
2022-01-22,314.56,318.72,264.85,291.75,828313.98
2022-01-23,291.76,303.31,283.73,302.39,429411.342
2022-01-24,302.31,302.57,259.55,292.22,664936.843
2022-01-25,292.12,294.31,283.04,291.5,326538.976
2022-01-26,291.48,314.92,283.58,289.02,426354.107
2022-01-27,289.03,294.85,277.12,289.4,313519.729
2022-01-28,289.4,297.21,281.61,296.36,291026.717
2022-01-29,296.38,301.9,290.98,298.61,183067.844
2022-01-30,298.66,302.1,287.45,289.71,238641.112
2022-01-31,289.64,290.29,277.81,284.67,342817.958
2022-02-01,284.72,290.78,282.3,287.69,262793.44
2022-02-02,287.69,296.56,275.8,277.68,330091.441
2022-02-03,277.72,281.39,270.59,280.98,308534.929
2022-02-04,280.94,306.91,276.26,306.02,346498.952
2022-02-05,306.17,328.91,302.43,320.07,418831.922
2022-02-06,320.1,327.8,311.79,324.5,320556.789
2022-02-07,324.5,343.7,317.82,343.03,376227.597
2022-02-08,342.98,355.51,324.68,335.25,438319.594
2022-02-09,335.31,347.57,328.0,345.81,319898.973
2022-02-10,345.8,362.37,336.16,340.55,518383.129
2022-02-11,340.52,341.59,316.39,320.41,357256.555
2022-02-12,320.41,330.37,311.65,330.1,304017.214
2022-02-13,330.1,339.71,324.24,333.51,397933.718
2022-02-14,333.52,337.43,318.12,330.33,353629.339
2022-02-15,330.34,344.66,328.69,343.11,279073.72
2022-02-16,343.11,343.24,328.8,334.22,284374.701
2022-02-17,334.22,336.29,309.13,312.86,292950.495
2022-02-18,312.9,318.92,306.03,309.88,265043.351
2022-02-19,309.89,315.93,304.67,311.65,214475.742
2022-02-20,311.68,312.52,296.37,302.51,270299.029
2022-02-21,302.5,310.63,282.24,283.1,426417.166
2022-02-22,283.12,295.47,274.89,293.02,310410.51
2022-02-23,293.03,304.83,286.58,288.11,295676.324
2022-02-24,288.11,309.5,259.21,300.44,849400.781
2022-02-25,300.43,311.89,290.02,308.52,361457.612
2022-02-26,308.52,330.28,306.8,315.25,314847.61
2022-02-27,315.26,321.29,299.03,303.69,302176.083
2022-02-28,303.84,339.07,300.15,338.85,350415.466
2022-03-01,338.88,343.73,320.12,328.44,416951.297
2022-03-02,328.44,331.19,317.59,319.86,283690.899
2022-03-03,319.84,321.61,305.07,315.06,257655.876
2022-03-04,314.94,315.42,285.46,290.25,305156.766
2022-03-05,290.2,295.27,283.04,293.96,164945.857
2022-03-06,293.92,296.08,280.93,281.89,211081.383
2022-03-07,281.84,290.98,269.61,273.64,303334.463
2022-03-08,273.62,289.44,271.92,284.19,220754.72
2022-03-09,284.22,317.87,283.26,307.08,320488.334
2022-03-10,307.07,308.78,283.16,289.32,317386.812
2022-03-11,289.29,294.61,280.81,287.4,266308.157
2022-03-12,287.35,294.05,286.97,290.66,163179.015
2022-03-13,290.67,295.94,277.68,279.48,206883.085
2022-03-14,279.42,289.98,277.09,289.26,248592.204
2022-03-15,289.33,292.75,281.45,289.14,235139.657
2022-03-16,289.11,302.39,286.01,299.63,323223.764
2022-03-17,299.64,301.21,294.23,296.13,171330.51
2022-03-18,296.13,306.5,290.44,305.41,247892.595
2022-03-19,305.39,328.6,305.34,327.69,219380.006
2022-03-20,327.69,332.49,315.05,327.24,340033.809
2022-03-21,327.21,340.35,319.79,334.68,436925.756
2022-03-22,334.62,387.32,334.14,375.13,1094705.285
2022-03-23,375.14,384.2,352.86,363.69,770416.286
2022-03-24,363.69,371.0,350.81,365.81,455489.375
2022-03-25,365.84,374.12,352.4,364.83,544345.272
2022-03-26,364.83,366.17,356.11,361.63,250578.543
2022-03-27,361.63,377.07,354.4,376.45,280343.562
2022-03-28,376.45,385.73,362.71,368.14,450321.601
2022-03-29,368.09,387.64,366.01,373.02,384501.211
2022-03-30,372.99,386.85,362.23,380.21,448765.825
2022-03-31,380.18,391.4,361.8,384.09,566413.0
2022-04-01,384.16,389.59,362.84,377.04,456156.151
2022-04-02,377.05,383.19,370.0,372.56,272004.584
2022-04-03,372.58,381.39,367.85,378.42,207604.821
2022-04-04,378.45,379.56,362.34,375.99,315154.081
2022-04-05,376.07,382.39,364.59,365.05,268895.232
2022-04-06,365.12,367.83,328.84,330.82,391867.222
2022-04-07,330.76,339.83,325.65,335.78,230184.471
2022-04-08,335.73,338.39,320.3,322.91,246979.184
2022-04-09,322.91,327.63,321.13,325.74,135933.076
2022-04-10,325.77,332.4,318.01,319.65,221868.165
2022-04-11,319.66,320.86,290.43,294.78,291779.574
2022-04-12,294.78,307.22,293.04,304.75,258277.834
2022-04-13,304.73,349.63,301.03,340.9,1391648.951
2022-04-14,340.9,353.0,332.34,337.42,757977.976
2022-04-15,337.41,345.29,333.08,340.62,397713.642
2022-04-16,340.63,347.61,338.43,342.58,298390.088
2022-04-17,342.58,348.81,327.12,327.85,328017.057
2022-04-18,327.8,340.95,312.59,340.24,569676.334
2022-04-19,340.26,343.0,332.23,340.28,302870.645
2022-04-20,340.29,344.69,328.75,330.56,388270.238
2022-04-21,330.57,345.54,310.76,315.44,399811.45
2022-04-22,315.43,334.62,313.8,320.77,420506.255
2022-04-23,320.76,324.13,310.98,312.43,157938.189
2022-04-24,312.43,314.96,306.84,307.39,168247.834
2022-04-25,307.38,315.61,299.43,314.44,324814.168
2022-04-26,314.43,321.8,291.0,295.85,381298.175
2022-04-27,295.81,309.28,293.22,307.08,604981.358
2022-04-28,307.07,312.48,303.04,306.28,691651.862
2022-04-29,306.29,308.92,290.35,294.65,459668.945
2022-04-30,294.59,298.24,267.09,277.36,360122.557
2022-05-01,277.36,287.62,272.25,283.67,263469.503
2022-05-02,283.66,289.81,279.33,284.86,269073.292
2022-05-03,284.92,289.55,276.05,279.29,252234.576
2022-05-04,279.28,300.16,278.07,299.64,300384.873
2022-05-05,299.66,302.45,272.06,276.99,379956.825
2022-05-06,277.0,277.66,265.25,274.85,327667.993
2022-05-07,274.84,277.33,263.12,267.77,231479.188
2022-05-08,267.77,269.68,259.7,261.62,277742.425
2022-05-09,261.63,266.38,214.24,217.41,764552.943
2022-05-10,217.31,244.27,210.28,231.49,746557.311
2022-05-11,231.48,249.79,183.27,194.57,1515433.952
