Date,Open,High,Low,Close,Volume
2025-04-11 13:00:00,301.91,304.23,300.41,302.34,12570.872
2025-04-11 14:00:00,302.32,309.5,300.0,305.13,88548.09
2025-04-11 15:00:00,305.12,310.42,304.38,309.95,43547.659
2025-04-11 16:00:00,309.96,311.97,307.94,311.22,23325.314
2025-04-11 17:00:00,311.22,315.78,310.44,314.66,21611.36
2025-04-11 18:00:00,314.62,314.87,312.17,314.27,14074.614
2025-04-11 19:00:00,314.28,315.14,311.72,311.9,12081.134
2025-04-11 20:00:00,311.89,312.26,311.01,311.88,7377.017
2025-04-11 21:00:00,311.83,313.48,310.14,313.16,8413.381
2025-04-11 22:00:00,313.16,313.62,311.89,312.63,9339.923
2025-04-11 23:00:00,312.63,313.25,311.29,312.67,8185.031
2025-04-12 00:00:00,312.68,313.05,311.28,312.55,10214.41
2025-04-12 01:00:00,312.54,314.33,311.26,313.17,7443.256
2025-04-12 02:00:00,313.17,313.67,311.96,312.06,6166.999
2025-04-12 03:00:00,312.05,312.58,311.12,311.65,6803.468
2025-04-12 04:00:00,311.64,315.46,311.56,315.17,7965.222
2025-04-12 05:00:00,315.17,316.75,314.55,315.14,12983.984
2025-04-12 06:00:00,315.13,317.68,314.68,316.93,8616.275
2025-04-12 07:00:00,316.93,317.02,314.34,314.95,6348.849
2025-04-12 08:00:00,314.93,315.7,312.28,312.56,11671.04
2025-04-12 09:00:00,312.57,314.51,311.42,314.32,7660.214
2025-04-12 10:00:00,314.32,314.41,312.55,313.8,4875.237
2025-04-12 11:00:00,313.81,315.28,313.79,314.68,4960.878
2025-04-12 12:00:00,314.68,316.1,313.55,314.45,7237.068
2025-04-12 13:00:00,314.48,320.04,313.96,318.68,16345.085
2025-04-12 14:00:00,318.68,331.8,318.37,328.03,46025.86
2025-04-12 15:00:00,328.02,358.0,328.02,348.05,93538.595
2025-04-12 16:00:00,348.04,352.54,346.07,350.59,55622.867
2025-04-12 17:00:00,350.58,351.38,344.09,347.32,20936.479
2025-04-12 18:00:00,347.33,352.94,347.25,350.84,17470.502
2025-04-12 19:00:00,350.84,352.77,349.69,351.2,9523.209
2025-04-12 20:00:00,351.2,352.59,347.8,348.39,12561.918
2025-04-12 21:00:00,348.44,348.55,345.0,345.96,11075.215
2025-04-12 22:00:00,345.96,347.52,343.38,343.43,11305.371
2025-04-12 23:00:00,343.44,347.24,343.0,344.43,11760.922
2025-04-13 00:00:00,344.42,344.96,341.85,342.2,10280.27
2025-04-13 01:00:00,342.21,342.58,337.51,338.5,13164.603
2025-04-13 02:00:00,338.49,341.02,337.38,340.36,9381.825
2025-04-13 03:00:00,340.37,340.78,337.5,337.75,7616.465
2025-04-13 04:00:00,337.76,338.89,336.02,336.56,9378.472
2025-04-13 05:00:00,336.55,338.5,335.72,338.49,9880.427
2025-04-13 06:00:00,338.5,338.94,337.21,337.22,6136.516
2025-04-13 07:00:00,337.22,339.66,337.22,339.34,6597.474
2025-04-13 08:00:00,339.34,341.85,338.2,340.88,15377.558
2025-04-13 09:00:00,340.87,347.16,340.82,346.1,20411.119
2025-04-13 10:00:00,346.1,347.49,345.24,345.87,18957.684
2025-04-13 11:00:00,345.86,347.61,344.77,347.02,14556.859
2025-04-13 12:00:00,347.02,348.74,345.63,347.76,30431.629
2025-04-13 13:00:00,347.75,353.34,338.26,340.56,127980.021
2025-04-13 14:00:00,340.57,345.13,340.31,344.56,23182.864
2025-04-13 15:00:00,344.56,344.69,340.5,343.1,14363.59
2025-04-13 16:00:00,343.1,347.26,342.67,347.05,12576.543
2025-04-13 17:00:00,347.05,349.6,345.53,347.57,16718.923
2025-04-13 18:00:00,347.56,348.24,344.35,346.02,10709.224
2025-04-13 19:00:00,346.02,346.62,339.64,343.8,20677.073
2025-04-13 20:00:00,343.81,345.7,341.03,342.0,9938.954
2025-04-13 21:00:00,342.0,344.58,339.57,343.29,11434.123
2025-04-13 22:00:00,343.3,345.92,341.48,343.13,9971.806
2025-04-13 23:00:00,343.17,345.89,341.14,342.5,11669.952
2025-04-14 00:00:00,342.49,351.49,342.21,350.33,28477.399
2025-04-14 01:00:00,350.32,357.93,347.22,348.98,63853.594
2025-04-14 02:00:00,348.98,374.25,347.53,356.34,134086.468
2025-04-14 03:00:00,356.35,361.03,346.61,347.35,60581.721
2025-04-14 04:00:00,347.35,352.68,346.38,349.79,25807.985
2025-04-14 05:00:00,349.79,349.79,343.72,345.18,21874.122
2025-04-14 06:00:00,345.15,345.15,341.03,342.05,18829.317
2025-04-14 07:00:00,342.05,343.02,339.12,342.58,14886.895
2025-04-14 08:00:00,342.54,343.41,336.91,340.06,21392.196
2025-04-14 09:00:00,340.05,341.75,332.52,335.94,25853.062
2025-04-14 10:00:00,335.93,340.53,335.21,339.98,15943.564
2025-04-14 11:00:00,339.98,341.06,338.38,340.37,10562.823
2025-04-14 12:00:00,340.35,340.85,335.44,338.09,19697.527
2025-04-14 13:00:00,338.09,339.77,334.47,336.94,19090.153
2025-04-14 14:00:00,336.98,340.28,336.14,338.54,16984.417
2025-04-14 15:00:00,338.53,338.71,328.16,330.27,43604.202
2025-04-14 16:00:00,330.3,331.45,323.12,326.19,38121.746
2025-04-14 17:00:00,326.18,328.34,325.03,327.52,13644.424
2025-04-14 18:00:00,327.51,328.34,325.62,326.56,8845.096
2025-04-14 19:00:00,326.56,327.42,325.37,325.73,7879.994
2025-04-14 20:00:00,325.75,326.14,323.27,323.73,8898.963
2025-04-14 21:00:00,323.75,329.16,323.24,326.15,12660.231
2025-04-14 22:00:00,326.16,326.38,323.14,324.3,8512.027
2025-04-14 23:00:00,324.3,325.29,322.52,323.36,8875.93
2025-04-15 00:00:00,323.35,324.78,322.85,323.68,10226.534
2025-04-15 01:00:00,323.67,324.1,320.64,322.77,20387.759
2025-04-15 02:00:00,322.77,323.1,321.03,322.27,9528.81
2025-04-15 03:00:00,322.28,327.67,322.05,326.47,18133.155
2025-04-15 04:00:00,326.47,334.73,326.1,330.84,60375.333
2025-04-15 05:00:00,330.83,334.4,329.23,331.76,25056.716
2025-04-15 06:00:00,331.75,334.8,328.85,332.11,37495.678
2025-04-15 07:00:00,332.12,337.3,330.82,334.86,33083.21
2025-04-15 08:00:00,334.86,336.1,332.57,333.35,8610.156
2025-04-15 09:00:00,333.35,335.76,332.09,333.44,10459.243
2025-04-15 10:00:00,333.44,333.5,329.49,331.24,9736.104
2025-04-15 11:00:00,331.24,331.41,329.4,330.51,7190.512
2025-04-15 12:00:00,330.5,332.13,327.75,329.98,9156.569
2025-04-15 13:00:00,329.98,332.24,326.49,327.83,18581.024
2025-04-15 14:00:00,327.84,329.82,323.46,326.2,20741.72
2025-04-15 15:00:00,326.21,326.92,321.77,322.67,19024.834
2025-04-15 16:00:00,322.66,325.61,322.0,323.18,12375.853
2025-04-15 17:00:00,323.17,325.16,321.58,322.44,14002.329
2025-04-15 18:00:00,322.44,327.12,321.32,326.47,12346.342
2025-04-15 19:00:00,326.46,326.79,321.95,323.66,16548.611
2025-04-15 20:00:00,323.65,323.8,321.51,323.66,9978.486
2025-04-15 21:00:00,323.63,326.06,322.69,322.81,8464.518
2025-04-15 22:00:00,322.8,322.8,316.75,317.94,28062.631
2025-04-15 23:00:00,317.94,320.28,317.68,319.39,8198.141
2025-04-16 00:00:00,319.37,321.56,318.25,319.25,8948.261
2025-04-16 01:00:00,319.25,320.4,318.17,318.48,7520.061
2025-04-16 02:00:00,318.48,320.19,318.29,319.69,7850.089
2025-04-16 03:00:00,319.69,321.1,319.1,319.22,6227.612
2025-04-16 04:00:00,319.22,320.08,318.36,319.75,7929.314
2025-04-16 05:00:00,319.75,322.51,317.9,320.87,15383.65
2025-04-16 06:00:00,320.87,322.34,319.81,322.23,6466.941
2025-04-16 07:00:00,322.23,322.51,319.41,319.56,7115.796
2025-04-16 08:00:00,319.54,323.32,318.77,320.53,16950.83
2025-04-16 09:00:00,320.53,321.92,319.16,319.38,10381.651
2025-04-16 10:00:00,319.39,321.35,318.58,320.87,8866.215
2025-04-16 11:00:00,320.88,321.24,319.51,319.88,9764.611
2025-04-16 12:00:00,319.87,321.07,315.88,317.09,16417.232
2025-04-16 13:00:00,317.14,318.68,316.22,316.84,13182.153
2025-04-16 14:00:00,316.82,321.93,316.76,320.8,18900.892
2025-04-16 15:00:00,320.8,323.08,320.25,321.47,20018.177
2025-04-16 16:00:00,321.48,323.68,319.77,323.12,13078.424
2025-04-16 17:00:00,323.12,324.79,313.76,314.77,29906.212
2025-04-16 18:00:00,314.81,320.9,314.68,318.38,19452.097
2025-04-16 19:00:00,318.39,322.62,317.3,321.68,8886.048
2025-04-16 20:00:00,321.71,322.43,319.65,319.79,8025.033
2025-04-16 21:00:00,319.78,323.39,319.71,322.48,7961.602
2025-04-16 22:00:00,322.51,325.45,320.41,324.38,19326.186
2025-04-16 23:00:00,324.38,325.73,321.16,321.36,20028.345
2025-04-17 00:00:00,321.36,323.13,320.61,322.43,10155.96
2025-04-17 01:00:00,322.42,332.74,321.32,331.04,40152.32
2025-04-17 02:00:00,331.03,331.48,325.27,326.92,28971.177
2025-04-17 03:00:00,326.94,327.31,324.12,326.21,9538.253
2025-04-17 04:00:00,326.19,327.7,324.38,326.92,11147.211
2025-04-17 05:00:00,326.92,336.76,326.87,335.71,26049.395
2025-04-17 06:00:00,335.71,338.78,334.29,334.46,16824.523
2025-04-17 07:00:00,334.45,334.52,331.4,333.06,17110.779
2025-04-17 08:00:00,333.06,334.16,329.53,330.15,10982.232
2025-04-17 09:00:00,330.16,331.61,329.43,330.64,10570.86
2025-04-17 10:00:00,330.65,332.33,329.07,332.15,7860.414
2025-04-17 11:00:00,332.17,333.92,331.1,333.01,8656.199
2025-04-17 12:00:00,333.0,334.61,331.56,332.27,9166.542
2025-04-17 13:00:00,332.33,332.64,329.6,330.16,9407.73
2025-04-17 14:00:00,330.15,330.76,326.33,328.96,20235.466
2025-04-17 15:00:00,328.96,335.31,328.96,334.08,21866.528
2025-04-17 16:00:00,334.08,337.28,333.52,335.41,29832.581
2025-04-17 17:00:00,335.41,336.05,332.02,334.74,12917.368
2025-04-17 18:00:00,334.74,334.97,332.32,332.38,10657.069
2025-04-17 19:00:00,332.4,340.02,331.31,338.13,18320.939
2025-04-17 20:00:00,338.12,340.42,335.72,338.55,20516.362
2025-04-17 21:00:00,338.54,339.0,336.13,337.66,9400.826
2025-04-17 22:00:00,337.65,338.46,334.12,334.6,6037.737
2025-04-17 23:00:00,334.6,336.16,332.41,333.75,11526.433
2025-04-18 00:00:00,333.75,334.01,330.63,331.01,8515.526
2025-04-18 01:00:00,331.01,333.61,330.52,331.5,10628.746
2025-04-18 02:00:00,331.49,331.8,329.28,329.96,8947.697
2025-04-18 03:00:00,329.96,330.17,327.78,328.73,9227.476
2025-04-18 04:00:00,328.72,331.26,327.13,329.78,11767.761
2025-04-18 05:00:00,329.77,329.77,327.18,328.5,8850.373
2025-04-18 06:00:00,328.5,330.72,327.32,330.45,7909.75
2025-04-18 07:00:00,330.49,331.36,329.19,329.55,7654.03
2025-04-18 08:00:00,329.55,330.66,328.9,329.81,6703.339
2025-04-18 09:00:00,329.82,331.64,329.14,330.1,6165.088
2025-04-18 10:00:00,330.09,330.42,329.52,330.02,6471.928
2025-04-18 11:00:00,330.01,333.67,329.86,332.93,9050.894
2025-04-18 12:00:00,332.94,342.0,331.1,339.82,47294.072
2025-04-18 13:00:00,339.82,343.94,337.41,343.52,44746.732
2025-04-18 14:00:00,343.51,343.65,338.56,342.16,25912.896
2025-04-18 15:00:00,342.19,342.75,339.12,340.92,13410.065
2025-04-18 16:00:00,340.92,342.02,340.56,340.99,8030.455
2025-04-18 17:00:00,340.98,343.15,340.95,342.14,9162.317
2025-04-18 18:00:00,342.14,343.01,340.05,342.11,7310.125
2025-04-18 19:00:00,342.1,342.52,341.3,342.28,5296.936
2025-04-18 20:00:00,342.27,342.82,341.56,342.78,4423.952
2025-04-18 21:00:00,342.78,344.9,341.88,344.44,7102.396
2025-04-18 22:00:00,344.44,344.5,337.62,337.97,30004.2
2025-04-18 23:00:00,338.02,338.37,334.15,334.78,17322.324
2025-04-19 00:00:00,334.77,337.61,334.05,337.26,10233.507
2025-04-19 01:00:00,337.27,339.23,337.07,337.2,7816.817
2025-04-19 02:00:00,337.2,338.26,336.4,336.87,7381.788
2025-04-19 03:00:00,336.87,339.19,336.76,337.85,8938.722
2025-04-19 04:00:00,337.84,338.99,336.87,337.92,6841.709
2025-04-19 05:00:00,337.91,338.03,336.3,336.59,7205.876
2025-04-19 06:00:00,336.61,337.93,336.14,336.23,5936.378
2025-04-19 07:00:00,336.22,339.38,336.19,338.62,8684.923
2025-04-19 08:00:00,338.55,339.19,337.59,339.13,5871.253
2025-04-19 09:00:00,339.13,339.93,338.74,339.42,8172.909
2025-04-19 10:00:00,339.42,339.43,337.55,338.07,5810.664
2025-04-19 11:00:00,338.07,338.07,336.83,337.2,4845.948
2025-04-19 12:00:00,337.2,337.61,336.31,337.39,5644.004
2025-04-19 13:00:00,337.36,339.0,336.72,337.88,6559.522
2025-04-19 14:00:00,337.89,338.16,337.02,337.34,3681.454
2025-04-19 15:00:00,337.34,337.74,333.6,334.68,15973.876
2025-04-19 16:00:00,334.67,335.87,332.2,332.67,12588.318
2025-04-19 17:00:00,332.67,335.96,332.64,334.93,8548.095
2025-04-19 18:00:00,334.93,335.6,333.72,334.13,6432.269
2025-04-19 19:00:00,334.17,334.41,333.09,334.27,3746.943
2025-04-19 20:00:00,334.26,334.92,333.52,334.14,3506.007
2025-04-19 21:00:00,334.13,336.27,334.06,336.08,3816.62
2025-04-19 22:00:00,336.08,336.08,334.72,335.5,3822.946
2025-04-19 23:00:00,335.49,335.54,334.49,335.16,3897.578
2025-04-20 00:00:00,335.12,342.62,335.04,339.12,41638.742
2025-04-20 01:00:00,339.13,340.35,338.66,340.17,5770.042
2025-04-20 02:00:00,340.18,340.61,337.41,338.39,9178.473
2025-04-20 03:00:00,338.39,339.82,338.18,339.47,5486.841
2025-04-20 04:00:00,339.47,341.38,339.07,340.56,6884.069
2025-04-20 05:00:00,340.55,340.65,337.89,338.08,10810.854
2025-04-20 06:00:00,338.08,338.47,336.49,337.38,9375.174
2025-04-20 07:00:00,337.37,337.38,333.32,334.98,14993.649
2025-04-20 08:00:00,334.99,335.1,333.64,334.8,8648.665
2025-04-20 09:00:00,334.82,334.98,332.23,334.01,10004.295
